,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,calendar_last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included
4162,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,3,1.0,2.0,2,2.0,65,0,1
4163,Guesthouse,Private room,Real Bed,1,30,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,3,1.0,2.0,0,1.0,361,0,1
4164,Apartment,Entire home/apt,Real Bed,1,1086,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,1,1.0,50,0,2
4165,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,13,4.0,6.0,30,1.0,300,25,8
4166,Condominium,Private room,Real Bed,4,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,1.0,0,2.0,10,0,2
4167,Apartment,Private room,Real Bed,2,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,0,1.0,479,0,1
4168,Apartment,Private room,Real Bed,2,1125,moderate,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,1.0,178,1.0,42,0,1
4169,Apartment,Private room,Real Bed,3,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,1,1.0,1.0,52,1.0,58,0,1
4171,Apartment,Entire home/apt,Real Bed,32,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,3,2.0,2.0,0,1.0,56,0,1
4172,Apartment,Entire home/apt,Real Bed,1,100,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,0,1.0,683,150,1
4173,Apartment,Private room,Real Bed,28,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,1,2.0,283,0,1
4174,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,7,2.0,4.0,5,1.0,266,0,1
4175,Apartment,Entire home/apt,Real Bed,7,365,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,0.0,1.0,24,1.0,801,392,2
4176,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,8,2.0,4.0,0,1.0,427,42,4
4177,Boutique hotel,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,10,1.0,447,0,1
4178,Apartment,Entire home/apt,Real Bed,3,6,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,5,2.0,2.0,0,2.0,392,0,1
4179,Apartment,Entire home/apt,Real Bed,2,1084,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,4,2.0,2.0,3,1.0,75,30,1
4180,Apartment,Entire home/apt,Real Bed,5,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,4,1.0,1.0,0,1.0,300,0,4
4181,Townhouse,Entire home/apt,Real Bed,3,182,super_strict_60,2019-03-06 05:00:00,2019-03-06 05:00:00,8,2.0,6.0,0,2.0,341,0,1
4182,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,1.0,2,2.0,30,0,1
4183,Apartment,Entire home/apt,Real Bed,3,1125,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,2,0.0,1.0,2,1.0,950,50,1
4184,Apartment,Private room,Real Bed,7,32,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,1,1.0,1.0,0,1.0,100,0,1
4185,Serviced apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,4,2.0,3.0,4,1.0,1751,0,1
4186,Condominium,Private room,Real Bed,2,5,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,1,0.0,1.0,0,1.0,35,0,1
4187,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,1,1.0,502,0,1
4188,Apartment,Entire home/apt,Real Bed,1,8,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,3,2.0,2.0,0,1.0,81,30,2
4189,Apartment,Entire home/apt,Real Bed,3,29,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,7,1.0,160,25,2
4190,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-02-18 05:00:00,2019-02-18 05:00:00,6,2.0,5.0,13,2.0,886,0,1
4191,Condominium,Entire home/apt,Airbed,3,21,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,0.0,11,1.0,105,0,1
4192,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,5,2.0,4.0,3,3.0,500,0,1
4193,Apartment,Private room,Real Bed,30,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,4,1.0,1.0,54,2.0,95,10,1
4194,Apartment,Entire home/apt,Real Bed,3,21,flexible,2019-03-07 05:00:00,2019-03-07 05:00:00,4,1.0,1.0,113,1.0,145,25,2
4195,Apartment,Private room,Real Bed,3,50,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,0,1.0,145,0,1
4196,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,6,1.0,3.0,11,1.0,848,0,1
4197,House,Entire home/apt,Real Bed,2,1125,super_strict_30,2019-02-16 05:00:00,2019-02-16 05:00:00,6,2.0,3.0,0,1.0,67,0,1
4198,Apartment,Shared room,Real Bed,1,30,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,1,1.0,1.0,0,1.0,526,0,1
4199,House,Private room,Real Bed,1,30,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,1,2.0,1.0,1,1.0,243,0,1
4200,Serviced apartment,Entire home/apt,Real Bed,3,1125,moderate,2019-03-08 05:00:00,2019-03-08 05:00:00,6,3.0,4.0,0,1.0,200,14,2
4201,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2019-03-08 05:00:00,2019-03-08 05:00:00,8,3.0,3.0,2,2.0,120,20,7
4202,Hostel,Private room,Real Bed,2,30,moderate,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,0,1.0,933,0,2
4203,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,6,2.0,4.0,0,1.0,150,0,1
4204,Apartment,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,1.0,4,1.0,261,0,1
4205,Apartment,Private room,Real Bed,1,28,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,1,1.0,80,50,1
4206,Apartment,Private room,Real Bed,2,1125,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,1.0,0,1.0,35,0,1
4207,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,3,1.0,2.0,0,1.0,75,0,1
4208,Apartment,Private room,Real Bed,1,1125,moderate,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,2.0,0,2.0,298,100,1
4209,Condominium,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,4,1.0,1.0,0,1.0,637,0,1
4210,Apartment,Entire home/apt,Real Bed,60,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,0,1.0,68,0,1
4211,House,Private room,Real Bed,1,30,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,2.0,0,1.0,70,0,1
4212,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,16,7.0,9.0,0,1.0,199,20,12
4213,House,Private room,Real Bed,3,8,moderate,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,95,1.0,80,20,1
4214,Apartment,Entire home/apt,Real Bed,3,90,moderate,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,0.0,135,1.0,127,25,2
