,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,calendar_last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included
0,Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,70,1.0,135,0,1
1,Bed and breakfast,Private room,Real Bed,1,1125,moderate,2019-02-18 05:00:00,2019-02-18 05:00:00,3,1.0,2.0,29,1.0,121,0,1
2,Apartment,Entire home/apt,Real Bed,4,20,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,3,1.0,2.0,3,1.0,699,0,1
3,Guesthouse,Private room,Futon,1,500,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,1,1.0,1.0,81,1.0,181,100,1
4,Apartment,Entire home/apt,Real Bed,10,21,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,0.0,1.0,64,1.0,181,0,1
5,Hostel,Private room,Real Bed,1,1125,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,2,1.0,1.0,0,1.0,40,25,2
6,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,1,1.0,145,0,1
7,Apartment,Private room,Real Bed,1,10,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,239,1.0,45,10,1
8,Apartment,Private room,Real Bed,14,1125,flexible,2019-03-06 05:00:00,2019-03-06 05:00:00,1,1.0,1.0,1,1.5,40,0,1
9,Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,3.0,70,2.0,119,40,3
10,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,2,0.0,1.0,0,1.0,43,12,1
11,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,5,3.0,3.0,0,1.5,933,0,1
12,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,2.0,0,1.0,317,0,1
13,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,6,3.0,3.0,0,1.0,140,0,1
14,Serviced apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-02-18 05:00:00,2019-02-18 05:00:00,4,2.0,4.0,3,1.0,838,0,1
15,Loft,Entire home/apt,Real Bed,2,1125,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,2,1.0,1.0,178,1.0,30,0,1
16,Apartment,Entire home/apt,Real Bed,7,180,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,2,1.0,1.0,12,1.0,40,0,2
17,Apartment,Entire home/apt,Real Bed,2,7,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,5,2.0,2.0,9,1.0,275,0,1
18,House,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,8,1.0,8.0,1,4.0,250,40,4
19,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,0,1.0,361,130,2
20,Apartment,Entire home/apt,Real Bed,15,20,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,5,2.0,2.0,0,2.0,858,75,1
21,Apartment,Entire home/apt,Real Bed,2,30,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,109,1.0,185,0,1
22,Apartment,Private room,Real Bed,1,9,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,2.0,0,1.0,50,0,1
23,Apartment,Entire home/apt,Real Bed,3,1125,flexible,2019-03-06 05:00:00,2019-03-06 05:00:00,3,1.0,1.0,0,1.0,150,0,1
24,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,123,1.0,46,10,1
25,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,0,2.0,701,0,1
26,House,Entire home/apt,Real Bed,2,30,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,8,3.0,5.0,51,1.0,80,15,6
27,House,Entire home/apt,Real Bed,2,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,6,2.0,6.0,1,1.0,527,211,1
28,Condominium,Entire home/apt,Real Bed,3,365,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,96,1.0,115,0,1
29,Serviced apartment,Entire home/apt,Real Bed,1,1125,moderate,2019-02-18 05:00:00,2019-02-18 05:00:00,6,2.0,5.0,0,2.0,997,0,1
30,House,Entire home/apt,Real Bed,2,1125,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,0,2.5,250,0,1
31,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,4,1.0,2.0,0,1.0,50,31,1
32,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,4,0.0,2.0,5,1.0,205,0,1
33,Apartment,Private room,Pull-out Sofa,2,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,1.0,27,1.0,58,60,1
34,Apartment,Private room,Real Bed,1,15,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,1,1.0,1.0,1,2.0,149,0,1
35,Apartment,Private room,Real Bed,2,120,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,1,1.0,1.0,62,1.0,34,10,1
36,Guesthouse,Private room,Real Bed,1,1125,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,162,1.0,487,0,1
37,Apartment,Entire home/apt,Real Bed,7,7,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,6,2.0,3.0,1,2.0,135,0,1
38,Condominium,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,4,1.0,2.0,1,1.0,499,0,1
39,Loft,Private room,Real Bed,1,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,2.0,0,1.0,185,0,1
40,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,2,0.0,1.0,1,1.0,966,0,1
41,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,2,2.0,2.0,0,1.0,380,0,1
42,Apartment,Private room,Real Bed,1,500,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,3,1.0,2.0,22,1.0,400,0,1
43,Apartment,Private room,Real Bed,1,500,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,9,1.0,330,0,1
44,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,4,1.0,2.0,0,1.0,264,53,1
45,Apartment,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,4,2.0,2.0,24,2.0,298,50,2
46,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,2,0.0,1.0,61,1.0,117,20,1
47,Apartment,Entire home/apt,Real Bed,2,15,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,6,2.0,5.0,8,2.0,798,20,4
48,Apartment,Private room,Real Bed,1,1125,flexible,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,4,1.0,36,20,2
49,Apartment,Entire home/apt,Real Bed,2,30,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,6,3.0,3.0,0,3.0,746,187,4
50,Apartment,Entire home/apt,Real Bed,5,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,4,2.0,2.0,1,1.0,220,0,1
51,Apartment,Entire home/apt,Real Bed,3,6,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,9,3.0,4.0,22,1.0,180,19,4
52,House,Private room,Real Bed,3,365,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,2.0,8,3.5,64,0,1
53,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,6,3.0,4.0,0,3.0,1999,0,1
54,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,3,1.0,1.0,29,1.0,858,112,3
55,Condominium,Entire home/apt,Pull-out Sofa,3,180,moderate,2019-03-06 05:00:00,2019-03-06 05:00:00,4,1.0,2.0,32,1.0,95,0,1
56,Apartment,Private room,Real Bed,4,1125,moderate,2019-02-11 05:00:00,2019-02-11 05:00:00,1,1.0,1.0,1,1.0,71,0,1
57,Apartment,Entire home/apt,Real Bed,2,300,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,2.0,117,1.0,175,300,2
58,Apartment,Entire home/apt,Real Bed,2,1124,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,2,0.0,1.0,225,1.0,31,0,1
59,Apartment,Entire home/apt,Real Bed,21,30,moderate,2019-03-06 05:00:00,2019-03-06 05:00:00,3,1.0,3.0,45,1.0,212,0,1
60,Treehouse,Entire home/apt,Real Bed,2,30,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,103,1.5,185,0,2
61,Apartment,Entire home/apt,Real Bed,10,90,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,2.0,0,1.0,933,0,1
62,House,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,8,3.0,6.0,139,2.0,399,35,6
63,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,4,1.0,2.0,0,1.0,105,0,1
64,House,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,14,4.0,10.0,32,4.0,795,0,1
65,Guesthouse,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,114,1.0,120,15,1
66,Apartment,Entire home/apt,Real Bed,2,28,strict_14_with_grace_period,2019-02-16 05:00:00,2019-02-16 05:00:00,4,0.0,2.0,62,1.0,55,7,2
67,Apartment,Entire home/apt,Real Bed,3,30,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,1,1.0,144,0,1
68,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,6,2.0,5.0,9,2.0,395,35,4
69,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-02-18 05:00:00,2019-02-18 05:00:00,4,1.0,3.0,135,1.0,269,42,3
70,Apartment,Entire home/apt,Real Bed,5,1125,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,4,1.0,2.0,13,1.0,80,0,1
71,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,2,0.0,1.0,31,1.0,29,0,2
72,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,2.0,0,1.0,100,0,1
73,Guest suite,Private room,Real Bed,3,21,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,167,1.0,139,35,2
74,Apartment,Private room,Real Bed,2,1125,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,2.0,1,1.0,20,0,1
75,Apartment,Private room,Real Bed,3,1125,moderate,2019-03-06 05:00:00,2019-03-06 05:00:00,1,1.0,1.0,2,1.0,35,0,1
76,Apartment,Private room,Real Bed,3,1125,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,1,1.0,1.0,10,1.0,80,0,1
77,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,1,1.0,1.0,0,1.0,112,0,1
78,Condominium,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,6,2.0,5.0,18,2.0,351,0,1
79,Apartment,Entire home/apt,Real Bed,200,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,5,4.0,4.0,2,1.0,31,0,2
80,Apartment,Entire home/apt,Real Bed,30,365,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,2.0,0,1.0,149,40,2
81,House,Entire home/apt,Real Bed,2,90,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,11,4.0,6.0,45,2.0,325,25,8
82,Apartment,Entire home/apt,Real Bed,5,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,4.0,0,1.0,701,0,1
83,House,Entire home/apt,Real Bed,3,25,moderate,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,18,1.0,72,10,2
84,Apartment,Entire home/apt,Real Bed,4,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,3,1.0,1.0,0,1.0,298,0,1
85,House,Entire home/apt,Real Bed,5,1125,flexible,2019-03-07 05:00:00,2019-03-07 05:00:00,6,4.0,4.0,0,4.0,999,0,1
86,Apartment,Entire home/apt,Real Bed,3,1125,moderate,2019-02-18 05:00:00,2019-02-18 05:00:00,8,3.0,4.0,77,1.0,264,36,4
87,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,5,3.0,3.0,1,3.0,298,0,1
88,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,0,1.0,30,15,1
89,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,2,2.0,2.0,1,1.0,37,0,1
90,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,1,1.0,101,20,1
91,Apartment,Entire home/apt,Real Bed,2,1124,strict_14_with_grace_period,2019-02-16 05:00:00,2019-02-16 05:00:00,6,3.0,3.0,132,1.0,80,10,2
92,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,1.0,0,1.0,137,0,1
93,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,2,1.0,85,0,1
94,Apartment,Entire home/apt,Real Bed,3,1125,flexible,2019-02-16 05:00:00,2019-02-16 05:00:00,8,4.0,8.0,71,2.0,100,0,1
95,Apartment,Entire home/apt,Real Bed,1,60,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,4,1.0,2.0,145,1.0,997,160,2
96,House,Private room,Real Bed,1,1125,moderate,2019-02-11 05:00:00,2019-02-11 05:00:00,1,1.0,1.0,0,1.0,101,50,1
97,Condominium,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,4,1.0,3.0,19,1.0,229,0,1
98,Apartment,Entire home/apt,Real Bed,7,365,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,5,2.0,2.0,0,2.0,801,0,1
99,Bed and breakfast,Private room,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,11,1.0,112,0,2
100,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,4,1.0,2.0,18,1.0,353,50,1
101,Guest suite,Entire home/apt,Real Bed,3,1125,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,3,0.0,0.0,115,1.0,135,25,2
102,Apartment,Private room,Real Bed,2,45,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,46,1.0,50,10,1
103,Bed and breakfast,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,9,1.0,138,70,2
104,Apartment,Entire home/apt,Real Bed,2,89,super_strict_30,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,2.0,110,1.0,351,60,2
105,Condominium,Private room,Real Bed,28,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,179,1.0,479,150,1
106,House,Entire home/apt,Real Bed,5,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,11,4.0,8.0,0,7.0,2499,0,1
107,Guest suite,Entire home/apt,Real Bed,2,3,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,5,1.0,4.0,104,1.0,45,25,2
108,Bungalow,Entire home/apt,Real Bed,2,300,flexible,2019-03-06 05:00:00,2019-03-06 05:00:00,2,0.0,1.0,99,1.0,100,20,1
109,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,8,4.0,6.0,77,2.0,169,0,10
110,Apartment,Entire home/apt,Real Bed,4,100,moderate,2019-02-11 05:00:00,2019-02-11 05:00:00,6,3.0,7.0,13,4.0,933,19,4
111,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,10,1.0,997,0,1
112,House,Entire home/apt,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,8,6.0,6.0,0,5.0,1999,0,1
113,Guesthouse,Entire home/apt,Real Bed,2,40,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,146,1.0,129,0,1
114,Condominium,Entire home/apt,Real Bed,2,1125,moderate,2019-03-06 05:00:00,2019-03-06 05:00:00,4,2.0,3.0,65,1.5,125,0,1
115,Apartment,Entire home/apt,Real Bed,4,90,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,4,1.0,1.0,126,1.0,125,30,2
116,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-02-16 05:00:00,2019-02-16 05:00:00,6,2.0,3.0,20,1.0,60,8,3
117,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,4,2.0,2.0,32,2.0,351,500,4
118,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,6,2.0,3.0,51,1.0,85,0,6
119,Apartment,Private room,Real Bed,3,1125,strict_14_with_grace_period,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,1.0,31,1.0,105,60,1
120,House,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,10,4.0,6.0,0,6.0,3726,0,1
121,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,1.0,17,1.0,385,0,2
122,Condominium,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,2.0,122,1.0,40,0,1
123,Apartment,Entire home/apt,Real Bed,5,1125,strict_14_with_grace_period,2019-02-18 05:00:00,2019-02-18 05:00:00,4,1.0,2.0,6,1.0,417,0,1
124,House,Private room,Real Bed,1,1125,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,84,1.5,65,15,1
125,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2019-03-08 05:00:00,2019-03-08 05:00:00,4,2.0,2.0,104,1.0,89,10,2
126,Apartment,Entire home/apt,Real Bed,3,40,strict_14_with_grace_period,2019-02-16 05:00:00,2019-02-16 05:00:00,3,1.0,1.0,32,1.0,58,20,2
127,Apartment,Private room,Real Bed,7,1125,flexible,2019-03-06 05:00:00,2019-03-06 05:00:00,1,1.0,1.0,0,1.0,90,40,1
128,Apartment,Entire home/apt,Real Bed,3,1120,moderate,2019-02-11 05:00:00,2019-02-11 05:00:00,5,2.0,3.0,34,2.0,451,100,4
129,Condominium,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,3,1.0,3.0,191,1.0,40,8,4
131,Serviced apartment,Entire home/apt,Real Bed,1,1125,moderate,2019-02-18 05:00:00,2019-02-18 05:00:00,3,1.0,2.0,1,1.0,211,89,1
132,Apartment,Private room,Real Bed,1,1125,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,1.0,0,1.0,15,0,1
133,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,2,2.0,149,80,1
134,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,60,1.0,125,0,1
135,Hostel,Private room,Real Bed,3,7,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,1,1.0,187,0,1
136,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,5,3.0,3.0,125,1.5,1146,60,4
137,Apartment,Private room,Real Bed,1,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,0,1.0,2748,0,1
138,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,5,2.0,3.0,86,1.0,1703,100,4
139,Apartment,Private room,Real Bed,1,1125,flexible,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,0,1.5,60,0,1
140,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,18,1.0,1484,0,1
141,Apartment,Entire home/apt,Real Bed,2,30,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,8,3.0,3.0,89,2.0,250,50,4
142,Condominium,Entire home/apt,Real Bed,5,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,4,2.0,3.0,0,1.0,134,0,1
143,Apartment,Entire home/apt,Real Bed,7,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,4,2.0,3.0,0,2.0,746,0,1
144,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,1,1.0,1.0,0,1.0,53,0,1
145,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,4,2.0,2.0,0,1.0,172,0,1
146,House,Entire home/apt,Real Bed,7,60,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,8,4.0,5.0,3,3.0,500,0,1
147,Apartment,Private room,Real Bed,2,30,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,241,1.0,47,15,1
148,Condominium,Private room,Real Bed,2,30,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,72,1.0,447,0,2
149,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,29,1.0,128,45,1
150,Apartment,Private room,Real Bed,1,2147483647,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,4,1.0,3.0,15,1.0,597,0,1
151,Townhouse,Entire home/apt,Real Bed,7,29,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,2.0,184,1.0,110,15,2
152,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,137,1.0,99,25,2
153,House,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,8,2.0,4.0,44,2.0,189,25,2
154,Hostel,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,1,1.0,1.0,203,1.0,447,0,1
155,House,Entire home/apt,Real Bed,4,180,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,14,4.0,8.0,119,3.0,169,25,4
156,House,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,44,1.0,105,0,1
157,Condominium,Entire home/apt,Real Bed,2,1125,super_strict_30,2019-03-06 05:00:00,2019-03-06 05:00:00,8,2.0,4.0,103,2.0,325,25,6
158,Apartment,Entire home/apt,Real Bed,32,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,4,2.0,3.0,1,2.0,91,0,1
159,House,Private room,Real Bed,1,60,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,21,1.0,90,40,1
160,Apartment,Entire home/apt,Real Bed,4,28,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,3,1.0,1.0,215,1.0,189,10,2
161,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,105,1.0,400,0,1
162,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,139,1.0,298,0,1
163,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,3,1.0,1.0,199,1.0,110,25,1
164,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,9,1.0,119,0,2
165,Condominium,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,0.0,1.0,206,1.0,463,80,2
166,Apartment,Private room,Real Bed,7,1125,strict_14_with_grace_period,2019-02-18 05:00:00,2019-02-18 05:00:00,1,1.0,1.0,1,1.0,47,0,1
167,House,Entire home/apt,Real Bed,2,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,4,2.0,2.0,15,1.0,359,60,2
168,Apartment,Entire home/apt,Real Bed,32,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,6,2.0,3.0,0,2.0,91,0,1
169,Apartment,Private room,Real Bed,1,1125,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,1.0,0,1.0,40,0,1
170,Apartment,Private room,Real Bed,30,360,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,3,1.0,1.0,13,1.0,59,25,1
171,Apartment,Entire home/apt,Real Bed,30,90,flexible,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,19,1.0,200,0,1
172,Apartment,Private room,Real Bed,14,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,1,1.0,21,0,1
173,Villa,Entire home/apt,Real Bed,2,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,5,3.0,4.0,7,1.5,209,48,2
